n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,total_time
500,0.250000,1,1,384484,32017,23,0,0,0.109849
500,0.250000,1,2,384484,32017,23,0,0,0.081605
500,0.250000,1,4,384484,32017,23,0,0,0.075478
500,0.250000,2,1,384484,32017,23,0,0,0.197925
500,0.250000,2,2,384484,32017,23,0,0,0.207274
500,0.250000,2,4,384484,32017,23,0,0,0.188051
500,0.250000,4,1,384484,32017,23,0,0,0.306554
500,0.250000,4,2,384484,32017,23,0,0,0.298696
500,0.250000,4,4,384484,32017,23,0,0,0.266025
500,0.250000,3,1,384484,32017,23,0,0,0.313186
500,0.250000,3,2,384484,32017,23,0,0,0.229848
500,0.250000,3,4,384484,32017,23,0,0,0.218846
2000,0.330000,1,1,715333,497350,58,0,0,2.936278
2000,0.330000,1,2,715333,497350,58,0,0,1.892727
2000,0.330000,1,4,715333,497350,58,0,0,1.625787
2000,0.330000,3,1,715333,497350,58,0,0,22.333232
2000,0.330000,3,2,715333,497350,58,0,0,22.363669
2000,0.330000,3,4,715333,497350,58,0,0,18.234036
2000,0.330000,4,1,715333,497350,58,0,0,27.192229
2000,0.330000,4,2,715333,497350,58,0,0,19.350819
2000,0.330000,4,4,715333,497350,58,0,0,20.600586
2000,0.330000,2,1,715333,497350,58,0,0,29.237972
2000,0.330000,2,2,715333,497350,58,0,0,30.596735
2000,0.330000,2,4,715333,497350,58,0,0,15.489367
